"Cuntrycd","Stkcd","Stknme","Conme","Conme_en","Indcd","Indnme","Nindcd","Nindnme","Nnindcd","Nnindnme","Estbdt","Listdt","Favaldt","Curtrd","Ipoprm","Ipoprc","Ipocur","Nshripo","Parvcur","Ipodt","Parval","Sctcd","Statco","Crcd","Statdt","Commnt","Markettype","PROVINCE","PROVINCECODE","CITY","CITYCODE","OWNERSHIPTYPE","OWNERSHIPTYPECODE"
"10","000001","平安银行","平安银行股份有限公司","Ping An Bank Co., Ltd.","0001","金融","I01","银行业","J66","货币金融服务","1987-12-22","1991-04-03","1991-04-03","CNY","20.0000","40.0000","CNY","350","CNY","1989-03-10","20.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000002","万科A","万科企业股份有限公司","China Vanke Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1988-11-01","1991-01-29","1991-01-29","CNY","0.0000","1.0000","CNY","28000","CNY","1988-12-28","1.000","2","A","","2021-08-27","02202","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000003","PT 金田A","金田实业(集团)股份有限公司","Gintian Industry (Group) Co., Ltd.","0004","综合","M","综合类","S90","综合","1988-02-08","1991-07-03","1991-07-03","CNY","9.0000","10.0000","CNY","452","CNY","1989-02-28","1.000","2","D","","2002-06-14","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000004","国华网安","深圳国华网安科技股份有限公司","Shenzhen Cau Technology Co., Ltd.","0002","公用事业","G87","计算机应用服务业","I65","软件和信息技术服务业","1986-05-05","1991-01-14","1991-01-14","CNY","0.0000","1.0000","CNY","12500","CNY","1989-12-23","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000005","ST 星源","深圳世纪星源股份有限公司","Shenzhen Fountain Corporation","0002","公用事业","K99","其他社会服务业","N77","生态保护和环境治理业","1990-02-01","1990-12-10","1990-12-10","CNY","9.0000","10.0000","CNY","44339","CNY","1990-03-03","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000006","深振业A","深圳市振业(集团)股份有限公司","Shenzhen Zhenye (Group) Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1989-04-01","1992-04-27","1992-04-27","CNY","9.0000","10.0000","CNY","690","CNY","1989-08-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000007","*ST 全新","深圳市全新好股份有限公司","Shenzhen Quanxinhao Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1988-11-21","1992-04-13","1992-04-13","CNY","0.0000","1.0000","CNY","8400","CNY","1988-12-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000008","神州高铁","神州高铁技术股份有限公司","China High-Speed Railway Technology Co., Ltd.","0005","工业","C75","交通运输设备制造业","C37","铁路、船舶、航空航天和其它运输设备制造业","1989-10-11","1992-05-07","1992-05-07","CNY","9.0000","10.0000","CNY","1000","CNY","1989-10-01","1.000","2","A","","2021-08-27","","4","北京市","110000","北京市","110000","私营企业","P0306"
"10","000009","中国宝安","中国宝安集团股份有限公司","China Baoan Group Co., Ltd.","0004","综合","M","综合类","S90","综合","1990-09-01","1991-06-25","1991-06-25","CNY","2.0000","3.0000","CNY","60000","CNY","1991-06-14","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000010","美丽生态","深圳美丽生态股份有限公司","Shenzhen Ecobeauty Co., Ltd.","0003","房地产","E01","土木工程建筑业","E48","土木工程建筑业","1988-12-13","1995-10-27","1995-10-27","CNY","0.0000","1.0000","CNY","16999","CNY","1993-06-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000011","深物业A","深圳市物业发展(集团)股份有限公司","Shenzhen Property Development (Group) Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1983-01-17","1992-03-30","1992-03-30","CNY","2.6000","3.6000","CNY","41500","CNY","1991-10-01","1.000","2","A","200011","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000012","南玻A","中国南玻集团股份有限公司","CSG Holding Co., Ltd.","0005","工业","C61","非金属矿物制品业","C30","非金属矿物制品业","1984-09-10","1992-02-28","1992-02-28","CNY","2.3800","3.3800","CNY","20300","CNY","1991-12-03","1.000","2","A","200012","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000013","*ST 石化A","深圳石化工业集团股份有限公司","Shenzhen Petrochemical Industry Group Co., Ltd.","0006","商业","H","能源、材料和机械电子设备批发业","F51","批发业","1992-03-18","1992-05-06","1992-05-06","CNY","1.8000","2.8000","CNY","23500","CNY","1991-12-11","1.000","2","D","200013","2004-09-20","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000014","沙河股份","沙河实业股份有限公司","Shahe Industrial Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1992-04-21","1992-06-02","1992-06-02","CNY","1.3800","2.3800","CNY","11000","CNY","1991-12-19","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000015","PT 中浩A","深圳中浩(集团)股份有限公司","Shenzhen Zhonghao (Group) Co., Ltd.","0004","综合","M","综合类","S90","综合","1992-05-08","1992-06-25","1992-06-25","CNY","1.7800","2.7800","CNY","14400","CNY","1991-12-14","1.000","2","D","","2001-10-25","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000016","深康佳A","康佳集团股份有限公司","Konka Group Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1980-10-01","1992-03-27","1992-03-27","CNY","2.9000","3.9000","CNY","30150","CNY","1991-12-24","1.000","2","A","200016","2021-09-13","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000017","深中华A","深圳中华自行车(集团)股份有限公司","Shenzhen China Bicycle Company (Holdings) Limited","0005","工业","C75","交通运输设备制造业","C37","铁路、船舶、航空航天和其它运输设备制造业","1992-03-12","1992-03-31","1992-03-31","CNY","2.7500","3.7500","CNY","32800","CNY","1991-12-28","1.000","2","A","200017","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000018","神城A退","神州长城股份有限公司","Sino Great Wall Co., Ltd.","0004","综合","E05","装修装饰业","E50","建筑装饰和其他建筑业","1992-05-09","1992-06-16","1992-06-16","CNY","0.5000","1.5000","CNY","15200","CNY","1992-01-07","1.000","2","D","","2020-01-07","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000019","深粮控股","深圳市深粮控股股份有限公司","Shenzhen Cereals Holdings Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1992-08-06","1992-10-12","1992-10-12","CNY","1.1000","2.1000","CNY","19400","CNY","1991-12-01","1.000","2","A","200019","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000020","深华发A","深圳中恒华发股份有限公司","Shenzhen Zhongheng Huafa Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1992-03-20","1992-04-28","1992-04-28","CNY","0.9000","1.9000","CNY","29630","CNY","1992-01-20","1.000","2","A","200020","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000021","深科技","深圳长城开发科技股份有限公司","Shenzhen Kaifa Technology Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","1993-12-29","1994-02-02","1994-02-02","CNY","3.6500","4.6500","CNY","25675","CNY","1993-11-22","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000022","深赤湾A","招商局港口集团股份有限公司","China Merchants Port Group Co., Ltd.","0002","公用事业","F07","水上运输业","G55","水上运输业","1993-03-21","1993-05-05","1993-05-05","CNY","2.1000","3.1000","CNY","46000","CNY","1993-02-18","1.000","2","D","201872","2018-12-25","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000023","深天地A","深圳市天地(集团)股份有限公司","Shenzhen Universe (Group) Co., Ltd.","0005","工业","C61","非金属矿物制品业","C30","非金属矿物制品业","1984-09-18","1993-04-29","1993-04-29","CNY","2.1000","3.1000","CNY","25300","CNY","1993-03-01","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000024","招商地产","招商局地产控股股份有限公司","China Merchants Real Estate Holding Co., Ltd.","0003","房地产","J","房地产开发与经营业","K70","房地产业","1993-04-10","1993-06-07","1993-06-07","CNY","2.4000","3.4000","CNY","27000","CNY","1993-03-15","1.000","2","D","200024","2015-12-30","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000025","特力A","深圳市特力(集团)股份有限公司","Shenzhen Tellus Holding Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1993-04-18","1993-06-21","1993-06-21","CNY","3.1800","4.1800","CNY","25980","CNY","1993-03-15","1.000","2","A","200025","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000026","飞亚达","飞亚达精密科技股份有限公司","FIYTA Precision Technology Co., Ltd.","0006","商业","H11","零售业","F52","零售业","1993-04-18","1993-06-03","1993-06-03","CNY","2.6000","3.6000","CNY","12500","CNY","1993-03-10","1.000","2","A","200026","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000027","深圳能源","深圳能源集团股份有限公司","Shenzhen Energy Corporation","0005","工业","D01","电力、蒸汽、热水的生产和供应业","D44","电力、热力生产和供应业","1993-06-02","1993-09-03","1993-09-03","CNY","2.5000","3.5000","CNY","107300","CNY","1993-04-06","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000028","国药一致","国药集团一致药业股份有限公司","China National Accord Medicines Corporation Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1993-07-03","1993-08-09","1993-08-09","CNY","2.5000","3.5000","CNY","30000","CNY","1993-05-05","1.000","2","A","200028","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000029","深深房A","深圳经济特区房地产(集团)股份有限公司","Shenzhen Special Economic Zone Real Estate & Properties (Group) Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1993-08-15","1993-09-15","1993-09-15","CNY","2.8000","3.8000","CNY","112000","CNY","1993-06-21","1.000","2","A","200029","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000030","富奥股份","富奥汽车零部件股份有限公司","FAWER Automotive Parts Limited Company","0005","工业","C75","交通运输设备制造业","C36","汽车制造业","1993-08-28","1993-09-29","1993-09-29","CNY","3.5500","4.5500","CNY","43500","CNY","1993-06-28","1.000","2","A","200030","2021-08-27","","4","吉林省","220000","长春市","220100","国营或国有控股","P0301"
"10","000031","大悦城","大悦城控股集团股份有限公司","Grandjoy Holdings Group Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1993-09-26","1993-10-08","1993-10-08","CNY","3.3800","4.3800","CNY","67000","CNY","1993-08-08","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000032","深桑达A","深圳市桑达实业股份有限公司","Shenzhen SED Industry Co., Ltd.","0003","房地产","E01","土木工程建筑业","E49","建筑安装业","1993-09-26","1993-10-28","1993-10-28","CNY","2.3600","3.3600","CNY","27500","CNY","1993-08-12","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","国营或国有控股","P0301"
"10","000033","新都退","深圳新都酒店股份有限公司","Shenzhen Century Plaza Hotel Co., Ltd.","0006","商业","K32","旅馆业","H61","住宿业","1993-11-15","1994-01-03","1994-01-03","CNY","2.1500","3.1500","CNY","42000","CNY","1993-09-30","1.000","2","D","","2017-07-07","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000034","神州数码","神州数码集团股份有限公司","Digital China Group Co., Ltd.","0006","商业","H","批发和零售贸易","F51","批发业","1993-12-18","1994-05-09","1994-05-09","CNY","4.2000","5.2000","CNY","46800","CNY","1993-10-18","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000035","中国天楹","中国天楹股份有限公司","China Tianying Inc.","0002","公用事业","K99","其他社会服务业","N77","生态保护和环境治理业","1994-01-08","1994-04-08","1994-04-08","CNY","2.9000","3.9000","CNY","15000","CNY","1993-11-24","1.000","2","A","","2021-08-27","","4","江苏省","320000","南通市","320600","私营企业","P0306"
"10","000036","华联控股","华联控股股份有限公司","China Union Holdings Ltd.","0003","房地产","J","房地产业","K70","房地产业","1994-01-29","1994-06-17","1994-06-17","CNY","1.6000","2.6000","CNY","34100","CNY","1993-12-13","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000037","深南电A","深圳南山热电股份有限公司","Shenzhen Nanshan Power Co., Ltd.","0005","工业","D01","电力、蒸汽、热水的生产和供应业","D44","电力、热力生产和供应业","1994-04-19","1994-07-01","1994-07-01","CNY","3.6000","4.6000","CNY","40000","CNY","1994-01-03","1.000","2","A","200037","2021-08-27","","4","广东省","440000","深圳市","440300","中外合资","P0303"
"10","000038","深大通","深圳大通实业股份有限公司","Shenzhen Datong Industrial Co., Ltd.","0002","公用事业","K99","其他社会服务业","L72","商务服务业","1994-02-02","1994-08-08","1994-08-08","CNY","2.6800","3.6800","CNY","12000","CNY","1993-12-10","1.000","2","A","","2021-08-27","","4","广东省","440000","深圳市","440300","私营企业","P0306"
"10","000039","中集集团","中国国际海运集装箱(集团)股份有限公司","China International Marine Containers (Group) Co., Ltd.","0005","工业","C69","金属制品业","C33","金属制品业","1992-09-30","1994-04-08","1994-04-08","CNY","7.5000","8.5000","CNY","12000","CNY","1994-02-01","1.000","2","A","","2021-08-27","02039","4","广东省","440000","深圳市","440300","中外合资","P0303"
